first_name,last_name,age,phone_number,set_id,number,theme,subtheme,year,name,pieces,us_price,image_url,quantity
Kayla,Rush,25,281-555-9341,24896,31046,Creator,,2018,Fast Car,222,19.99,http://images.brickset.com/sets/images/31046-1.jpg,1
Kayla,Rush,25,281-555-9341,24750,76065,Marvel Super Heroes,Mighty Micros,2018,Captain America vs. Red Skull,95,9.99,http://images.brickset.com/sets/images/76065-1.jpg,1
Kayla,Rush,25,281-555-9341,25662,75824,The Angry Birds Movie,,2018,Pig City Teardown,386,39.99,http://images.brickset.com/sets/images/75824-1.jpg,1
Lucas,Montoya,34,616-555-2269,24901,41555,Mixels,Series 7,2018,Busto,69,4.99,http://images.brickset.com/sets/images/41555-1.jpg,2
Lucas,Montoya,34,616-555-2269,24899,41114,Friends,Party,2018,Party Styling,54,4.99,http://images.brickset.com/sets/images/41114-1.jpg,2
Lucas,Montoya,34,616-555-2269,24762,70330,Nexo Knights,Ultimate,2018,Ultimate Clay,72,9.99,http://images.brickset.com/sets/images/70330-1.jpg,2
Peggy,Hiner,21,563-555-1011,24734,41119,Friends,,2018,Heartlake Cupcake Cafe,439,39.99,http://images.brickset.com/sets/images/41119-1.jpg,1
Maya,Wolfe,33,NA,25881,853549,Gear,Key Chains/Friends,2018,Mia Key Chain,NA,5.99,http://images.brickset.com/sets/images/853549-1.jpg,1
Keno,Graves,51,209-555-6030,25898,75145,Star Wars,Original Content,2018,Eclipse Fighter,363,29.99,http://images.brickset.com/sets/images/75145-1.jpg,1
Lucas,Jimenez-Dominguez,18,712-555-0459,24691,31043,Creator,,2018,Chopper Transporter,124,9.99,http://images.brickset.com/sets/images/31043-1.jpg,2
Lucas,Jimenez-Dominguez,18,712-555-0459,26034,41573,Mixels,Series 9,2018,Sweepz,61,4.99,,1
Lucas,Jimenez-Dominguez,18,712-555-0459,24704,41140,Disney Princess,Palace Pets,2018,Daisy's Beauty Salon,98,9.99,http://images.brickset.com/sets/images/41140-1.jpg,1
Lucas,Jimenez-Dominguez,18,712-555-0459,24903,41558,Mixels,Series 7,2018,Mixadel,63,4.99,http://images.brickset.com/sets/images/41558-1.jpg,2
Lucas,Jimenez-Dominguez,18,712-555-0459,26033,41572,Mixels,Series 9,2018,Gobbol,62,4.99,,1
Jake,Montes Alvarez,30,603-555-6881,25005,41566,Mixels,Series 8,2018,Sharx,55,4.99,http://images.brickset.com/sets/images/41566-1.jpg,1
Jake,Montes Alvarez,30,603-555-6881,24751,76066,Marvel Super Heroes,Mighty Micros,2018,Hulk vs. Ultron,80,9.99,http://images.brickset.com/sets/images/76066-1.jpg,1
Jake,Montes Alvarez,30,603-555-6881,24704,41140,Disney Princess,Palace Pets,2018,Daisy's Beauty Salon,98,9.99,http://images.brickset.com/sets/images/41140-1.jpg,2
Jake,Montes Alvarez,30,603-555-6881,25901,5004612,Gear,Watches/Clocks,2018,Lucy Wyldstyle Minifigure Link Watch,NA,24.99,http://images.brickset.com/sets/images/5004612-1.jpg,3
Trevon,Thanh,25,NA,25612,21128,Minecraft,Minifig-scale,2018,The Village,NA,199.99,,1
John'Dunae,Higgins,19,813-555-5561,24744,76046,DC Comics Super Heroes,Batman v Superman: Dawn of Justice,2018,Heroes of Justice: Sky High Battle,517,59.99,http://images.brickset.com/sets/images/76046-1.jpg,1
Tysen,Banda-Chavez,43,NA,26059,5005060,Gear,Video Games/3DS,2018,Marvel Avengers Nintendo 3DS Video Game,NA,29.99,http://images.brickset.com/sets/images/5005060-1.jpg,2
Tysen,Banda-Chavez,43,NA,25003,41564,Mixels,Series 8,2018,Aquad,70,4.99,http://images.brickset.com/sets/images/41564-1.jpg,1
Tysen,Banda-Chavez,43,NA,24677,60108,City,Fire,2018,Fire Response Unit,257,39.99,http://images.brickset.com/sets/images/60108-1.jpg,2
Janay,Gienapp,63,774-555-2102,25612,21128,Minecraft,Minifig-scale,2018,The Village,NA,199.99,,1
Janay,Gienapp,63,774-555-2102,24704,41140,Disney Princess,Palace Pets,2018,Daisy's Beauty Salon,98,9.99,http://images.brickset.com/sets/images/41140-1.jpg,1
Janay,Gienapp,63,774-555-2102,25893,30349,City,,2018,Sports Car,47,3.99,http://images.brickset.com/sets/images/30349-1.jpg,1
Eric,Benally,20,418-555-3696,24761,70316,Nexo Knights,,2018,Jestro's Evil Mobile,658,59.99,http://images.brickset.com/sets/images/70316-1.jpg,1
Eric,Benally,20,418-555-3696,25634,70319,Nexo Knights,,2018,Macy's Thunder Mace,202,19.99,http://images.brickset.com/sets/images/70319-1.jpg,1
Eric,Benally,20,418-555-3696,24900,41122,Friends,Adventure Camp,2018,Adventure Camp Tree House,726,79.99,http://images.brickset.com/sets/images/41122-1.jpg,1
Carson,Aragon,38,NA,25634,70319,Nexo Knights,,2018,Macy's Thunder Mace,202,19.99,http://images.brickset.com/sets/images/70319-1.jpg,1
Carson,Aragon,38,NA,25910,30347,City,Fire,2018,Fire Car,53,3.99,http://images.brickset.com/sets/images/30347-1.jpg,1
Samantha,Haberland,21,705-555-1457,25668,75828,Ghostbusters,Reboot,2018,Ghostbusters Ecto-1 & Ecto-2,NA,59.99,http://images.brickset.com/sets/images/75828-1.jpg,1
Samantha,Haberland,21,705-555-1457,25644,71313,Bionicle,Reboot Villains,2018,Lava Beast,114,14.99,,1
Samantha,Haberland,21,705-555-1457,24764,70333,Nexo Knights,Ultimate,2018,Ultimate Robin,75,9.99,http://images.brickset.com/sets/images/70333-1.jpg,1
Cameron,Rodriguez,48,325-555-1926,25879,853534,Gear,Key Chains/Ninjago,2018,Airjitzu Jay Key Chain,NA,5.99,http://images.brickset.com/sets/images/853534-1.jpg,1
Cameron,Rodriguez,48,325-555-1926,25910,30347,City,Fire,2018,Fire Car,53,3.99,http://images.brickset.com/sets/images/30347-1.jpg,1
Connor,Padilla,36,441-555-6534,24674,71310,Bionicle,Reboot Villains,2018,Umarak the Hunter,172,19.99,http://images.brickset.com/sets/images/71310-1.jpg,2
Connor,Padilla,36,441-555-6534,24902,41556,Mixels,Series 7,2018,Tiketz,62,4.99,http://images.brickset.com/sets/images/41556-1.jpg,1
Connor,Padilla,36,441-555-6534,24797,75138,Star Wars,Episode V,2018,Hoth Attack,233,24.99,http://images.brickset.com/sets/images/75138-1.jpg,1
Tyrii,Bloom,23,784-555-7128,24759,70313,Nexo Knights,,2018,Moltor's Lava Smasher,187,19.99,http://images.brickset.com/sets/images/70313-1.jpg,1
Tyrii,Bloom,23,784-555-7128,24735,41120,Friends,Adventure Camp,2018,Adventure Camp Archery,114,9.99,http://images.brickset.com/sets/images/41120-1.jpg,1
Tyrii,Bloom,23,784-555-7128,24692,31044,Creator,,2018,Park Animals,202,14.99,http://images.brickset.com/sets/images/31044-1.jpg,1
Tyrii,Bloom,23,784-555-7128,24737,41135,Friends,Pop Star,2018,Livi's Pop Star House,597,49.99,http://images.brickset.com/sets/images/41135-1.jpg,3
Austin,Martinez,29,NA,24769,70600,Ninjago,Skybound,2018,Ninja Bike Chase,231,19.99,http://images.brickset.com/sets/images/70600-1.jpg,2
Caroline,Holstein,38,318-555-7894,24798,75140,Star Wars,The Force Awakens,2018,Resistance Troop Transporter,646,69.99,http://images.brickset.com/sets/images/75140-1.jpg,1
Caroline,Holstein,38,318-555-7894,24763,70331,Nexo Knights,Ultimate,2018,Ultimate Macy,101,9.99,http://images.brickset.com/sets/images/70331-1.jpg,1
Caroline,Holstein,38,318-555-7894,24678,60109,City,Fire,2018,Fire Boat,412,79.99,http://images.brickset.com/sets/images/60109-1.jpg,1
Caroline,Holstein,38,318-555-7894,24959,75139,Star Wars,The Force Awakens,2018,Battle on Takodana,409,59.99,http://images.brickset.com/sets/images/75139-1.jpg,1
Caroline,Holstein,38,318-555-7894,24699,76053,DC Comics Super Heroes,Batman,2018,Gotham City Cycle Chase,224,19.99,http://images.brickset.com/sets/images/76053-1.jpg,3
Joshua,Long,55,469-555-6245,26056,5005057,Gear,Video Games/XBOX 360,2018,Marvel Avengers XBOX 360 Video Game,NA,49.99,http://images.brickset.com/sets/images/5005057-1.jpg,1
Joshua,Long,55,469-555-6245,26057,5005058,Gear,Video Games/Wii U,2018,Marvel Avengers Wii U Video Game,NA,49.99,http://images.brickset.com/sets/images/5005058-1.jpg,1
Binh,Skalla,23,NA,24685,60118,City,Traffic,2018,Garbage Truck,248,19.99,http://images.brickset.com/sets/images/60118-1.jpg,1
Binh,Skalla,23,NA,24781,75116,Star Wars,Buildable Figures,2018,Finn,98,24.99,http://images.brickset.com/sets/images/75116-1.jpg,1
Binh,Skalla,23,NA,24736,41121,Friends,Adventure Camp,2018,Adventure Camp Rafting,320,29.99,http://images.brickset.com/sets/images/41121-1.jpg,1
Nicholas,Scott,57,418-555-1075,24758,70312,Nexo Knights,,2018,Lance's Mecha Horse,237,19.99,http://images.brickset.com/sets/images/70312-1.jpg,1
Nicholas,Scott,57,418-555-1075,25881,853549,Gear,Key Chains/Friends,2018,Mia Key Chain,NA,5.99,http://images.brickset.com/sets/images/853549-1.jpg,1
Nicholas,Scott,57,418-555-1075,25885,853572,Gear,Key Chains/Miscellaneous,2018,Bumble Bee Key Chain,NA,5.99,http://images.brickset.com/sets/images/853572-1.jpg,2
Jacob,Barron,27,319-555-6104,24680,60113,City,Traffic,2018,Rally Car,104,9.99,http://images.brickset.com/sets/images/60113-1.jpg,1
Jacob,Barron,27,319-555-6104,24792,75134,Star Wars,Battlefront,2018,Galactic Empire Battle Pack,109,12.99,http://images.brickset.com/sets/images/75134-1.jpg,2
Madeline,Castor,39,450-555-9877,25006,41567,Mixels,Series 8,2018,Skulzy,66,4.99,http://images.brickset.com/sets/images/41567-1.jpg,1
Madeline,Castor,39,450-555-9877,25969,76059,Marvel Super Heroes,Ultimate Spider-Man,2018,Spider-Man: Doc Ock's Tentacle Trap,446,39.99,http://images.brickset.com/sets/images/76059-1.jpg,1
Madeline,Castor,39,450-555-9877,26025,41178,Elves,,2018,The Dragon Sanctuary,585,49.99,,1
Trevor,Perez,39,878-555-5155,24730,41115,Friends,,2018,Emma's Creative Workshop,108,9.99,http://images.brickset.com/sets/images/41115-1.jpg,1
Trevor,Perez,39,878-555-5155,24746,76048,Marvel Super Heroes,Avengers Assemble,2018,Iron Skull Sub Attack,335,29.99,http://images.brickset.com/sets/images/76048-1.jpg,1
Trevor,Perez,39,878-555-5155,24703,41069,Disney Princess,Palace Pets,2018,Treasure's Day at the Pool,70,5.99,http://images.brickset.com/sets/images/41069-1.jpg,1
David,Cabral,19,415-555-8642,24957,71309,Bionicle,Toa,2018,Onua - Uniter of Earth,143,19.99,http://images.brickset.com/sets/images/71309-1.jpg,2
Adam,Albornoz,36,418-555-2486,24907,42050,Technic,,2018,Drag Racer,647,79.99,http://images.brickset.com/sets/images/42050-1.jpg,1
Manuel,Wilkerson,23,441-555-3652,24725,41174,Elves,,2018,The Starlight Inn,343,29.99,http://images.brickset.com/sets/images/41174-1.jpg,1
Manuel,Wilkerson,23,441-555-3652,24751,76066,Marvel Super Heroes,Mighty Micros,2018,Hulk vs. Ultron,80,9.99,http://images.brickset.com/sets/images/76066-1.jpg,1
Manuel,Wilkerson,23,441-555-3652,24768,70599,Ninjago,Skybound,2018,Cole's Dragon,98,9.99,http://images.brickset.com/sets/images/70599-1.jpg,2
Dakota,Klopp,33,970-555-9320,25660,75822,The Angry Birds Movie,,2018,Piggy Plane Attack,168,19.99,http://images.brickset.com/sets/images/75822-1.jpg,1
Dakota,Klopp,33,970-555-9320,24807,71235,Dimensions,Level Pack,2018,Level Pack: Midway Arcade,96,29.99,http://images.brickset.com/sets/images/71235-1.jpg,2
Dakota,Klopp,33,970-555-9320,25006,41567,Mixels,Series 8,2018,Skulzy,66,4.99,http://images.brickset.com/sets/images/41567-1.jpg,2
Aleksandr,Gurrola,61,508-555-9403,25910,30347,City,Fire,2018,Fire Car,53,3.99,http://images.brickset.com/sets/images/30347-1.jpg,1
Michael,Hernandez Muniz,62,NA,24745,76047,Marvel Super Heroes,Captain America: Civil War,2018,Black Panther Pursuit,287,29.99,http://images.brickset.com/sets/images/76047-1.jpg,2
Xavier,Suazo,27,321-555-0605,24779,75114,Star Wars,Buildable Figures,2018,First Order Stormtrooper,81,19.99,http://images.brickset.com/sets/images/75114-1.jpg,1
Xavier,Suazo,27,321-555-0605,24771,70603,Ninjago,Skybound,2018,Raid Zeppelin,294,29.99,http://images.brickset.com/sets/images/70603-1.jpg,1
Jaime,Rideout,26,913-555-5139,25641,70326,Nexo Knights,,2018,The Black Knight Mech,530,39.99,,2
Jaime,Rideout,26,913-555-5139,24717,10818,Duplo,,2018,My First Truck,29,19.99,http://images.brickset.com/sets/images/10818-1.jpg,2
Jaime,Rideout,26,913-555-5139,24899,41114,Friends,Party,2018,Party Styling,54,4.99,http://images.brickset.com/sets/images/41114-1.jpg,2
Tj,Aguon,47,862-555-5629,24737,41135,Friends,Pop Star,2018,Livi's Pop Star House,597,49.99,http://images.brickset.com/sets/images/41135-1.jpg,1
Tj,Aguon,47,862-555-5629,24894,31040,Creator,,2018,Desert Racers,65,4.99,http://images.brickset.com/sets/images/31040-1.jpg,1
Tj,Aguon,47,862-555-5629,24720,10830,Duplo,,2018,Minnie's Café,27,19.99,http://images.brickset.com/sets/images/10830-1.jpg,1
Taylor,Allen,41,760-555-8123,25923,75147,Star Wars,Original Content,2018,Star Scavenger,558,49.99,http://images.brickset.com/sets/images/75147-1.jpg,2
Kaitlyn,Degeer,24,316-555-7890,25887,853543,Ninjago,,2018,Ninjago Party Set,70,7.99,http://images.brickset.com/sets/images/853543-1.jpg,1
Kaitlyn,Degeer,24,316-555-7890,24765,70332,Nexo Knights,Ultimate,2018,Ultimate Aaron,82,9.99,http://images.brickset.com/sets/images/70332-1.jpg,2
Kaitlyn,Degeer,24,316-555-7890,26035,41574,Mixels,Series 9,2018,Compax,66,4.99,,1
Kaitlyn,Degeer,24,316-555-7890,24994,10251,Advanced Models,Modular Buildings,2018,Brick Bank,2380,169.99,http://images.brickset.com/sets/images/10251-1.jpg,2
Matthew,Sandoval,22,671-555-7044,25660,75822,The Angry Birds Movie,,2018,Piggy Plane Attack,168,19.99,http://images.brickset.com/sets/images/75822-1.jpg,1
Matthew,Sandoval,22,671-555-7044,25884,853571,Gear,Key Chains/Miscellaneous,2018,Hot Dog Guy Key Chain,NA,5.99,http://images.brickset.com/sets/images/853571-1.jpg,1
Jordan,West,56,810-555-1608,24898,41113,Friends,Party,2018,Party Gift Shop,52,4.99,http://images.brickset.com/sets/images/41113-1.jpg,1
Jordan,West,56,810-555-1608,24711,10807,Duplo,,2018,Horse Trailer,15,19.99,http://images.brickset.com/sets/images/10807-1.jpg,1
Reyes,Wilson,33,605-555-2774,24903,41558,Mixels,Series 7,2018,Mixadel,63,4.99,http://images.brickset.com/sets/images/41558-1.jpg,1
Reyes,Wilson,33,605-555-2774,24693,31045,Creator,,2018,Ocean Explorer,213,14.99,http://images.brickset.com/sets/images/31045-1.jpg,1
Reyes,Wilson,33,605-555-2774,24793,75133,Star Wars,Battlefront,2018,Rebel Alliance Battle Pack,101,12.99,http://images.brickset.com/sets/images/75133-1.jpg,2
Avery,Leung,33,330-555-2699,24781,75116,Star Wars,Buildable Figures,2018,Finn,98,24.99,http://images.brickset.com/sets/images/75116-1.jpg,1
Avery,Leung,33,330-555-2699,25876,853555,Gear,Stationery,2018,Campsite Scrapbook,NA,14.99,http://images.brickset.com/sets/images/853555-1.jpg,1
Michael,Williams,31,936-555-2974,24988,40202,Seasonal,Easter,2018,Easter Chick,111,9.99,,1
Michael,Williams,31,936-555-2974,24672,71307,Bionicle,Toa,2018,Gali - Uniter of Water,87,14.99,http://images.brickset.com/sets/images/71307-1.jpg,1
Michael,Williams,31,936-555-2974,24895,31041,Creator,,2018,Construction Vehicles,64,4.99,http://images.brickset.com/sets/images/31041-1.jpg,1
Colleen,Galley,31,710-555-8843,24705,41141,Disney Princess,Palace Pets,2018,Pumpkin's Royal Carriage,79,9.99,http://images.brickset.com/sets/images/41141-1.jpg,2
Colleen,Galley,31,710-555-8843,24976,60105,City,Fire,2018,Fire ATV,64,6.99,http://images.brickset.com/sets/images/60105-1.jpg,1
Colleen,Galley,31,710-555-8843,24956,71300,Bionicle,companions,2018,Uxar - Creature of Jungle,89,9.99,http://images.brickset.com/sets/images/71300-1.jpg,1
Brandilyn,Robertson,27,724-555-5496,24703,41069,Disney Princess,Palace Pets,2018,Treasure's Day at the Pool,70,5.99,http://images.brickset.com/sets/images/41069-1.jpg,1
Brandilyn,Robertson,27,724-555-5496,25886,853519,Gear,Playmats,2018,NK Playmat,NA,14.99,http://images.brickset.com/sets/images/853519-1.jpg,3
Brandilyn,Robertson,27,724-555-5496,24704,41140,Disney Princess,Palace Pets,2018,Daisy's Beauty Salon,98,9.99,http://images.brickset.com/sets/images/41140-1.jpg,1
Brandilyn,Robertson,27,724-555-5496,25635,70320,Nexo Knights,,2018,Aaron Fox's Aero-Striker V2,301,29.99,http://images.brickset.com/sets/images/70320-1.jpg,1
Brandilyn,Robertson,27,724-555-5496,24745,76047,Marvel Super Heroes,Captain America: Civil War,2018,Black Panther Pursuit,287,29.99,http://images.brickset.com/sets/images/76047-1.jpg,2
Son,Saldanha,30,507-555-2278,25878,853505,Gear,Role-Play toys,2018,NK Sword Standard,NA,9.99,http://images.brickset.com/sets/images/853505-1.jpg,2
Son,Saldanha,30,507-555-2278,24793,75133,Star Wars,Battlefront,2018,Rebel Alliance Battle Pack,101,12.99,http://images.brickset.com/sets/images/75133-1.jpg,2
Katherine,Beck,45,209-555-7105,24994,10251,Advanced Models,Modular Buildings,2018,Brick Bank,2380,169.99,http://images.brickset.com/sets/images/10251-1.jpg,1
Katherine,Beck,45,209-555-7105,24959,75139,Star Wars,The Force Awakens,2018,Battle on Takodana,409,59.99,http://images.brickset.com/sets/images/75139-1.jpg,1
Katherine,Beck,45,209-555-7105,24758,70312,Nexo Knights,,2018,Lance's Mecha Horse,237,19.99,http://images.brickset.com/sets/images/70312-1.jpg,2
